"Code","Branch Name","Phone Number","Address","Lat","Long","District","Thana","Google Map"
"0001","Mirpur 10 Dhaka","001847099001","বাড়ির মালিকঃকাজি আফুরউদ্দিন আহমদ, ১৯/৩,বড়বাগ মিরপুর, ঢাকা | থানা:-মিরপুর জেলা:-ঢাকা |","23.801501","90.361314","Dhaka","Pallabi","Map"
"0002","Nawbgonj-Section Dhaka","001847099002","মোঃ সফিকুর রহমান, ৪৯-৫১ নবাবগঞ্জ রোড,জনতা বাংকের উপরে (৩য় তলা) নবাবগঞ্জ-সেকশন, লালবাগ, ঢাকা","23.7240015","90.3761593","Dhaka","Lalbag","Map"
"0003","Jatrabari Dhaka","001847099003","মোঃ আলহাজ্ব নুরুদ্দিন সরদার, ৮নং সহিদ ফারুক রোড, যাত্রাবাড়ী, ঢাকা ।","23.70933","90.428389","Dhaka","Jatrabari","Map"
"0004","Mirpur-Stadium Dhaka","001847099004","মোঃ হারুনার রশিদ, পিতাঃ মরহুম হাসান আলী ,বাড়ী নং-১৮, রোড নং-০১, ব্লক- বি ,সেকশন -৬,মিরপুর- ঢাকা,১২১৬।","23.809203","90.3634943","Dhaka","Pallabi","Map"
"0005","Vatara  Dhaka","001847099005","মো: মাহবুবুল আলম পিতা : আব্দুস সাত্তার মজুমদার, (২য় তলা), বাড়ী নং-০২, ডা: শাফি স্বরনী রোড, ভাটারা নতুন বাজার,  ঢাকা-১২১২","23.798630","90.428727","Dhaka","Khilkhet","Map"
"0006","Matborbazar-Kamrangirchar  Dhaka","001847099006","হাজী মোঃ সাহাবুদ্দিন পিতা-মৃতঃ আদুল সোবহান তাজ, হারিকেন রোড, পূর্ব ইসলাম নগর, কামরাঙ্গীরচর, ঢাকা ।","23.7114231","90.377146","Dhaka","Keraniganj","Map"
"0007","Golambazar-Keraniganj  Dhaka","001847099007","মোঃ মোশারফ হোসেন বাবুল, গোলাম বাজার, চড়াইল ক্লাব রোড, কেরানীগঞ্জ, ঢাকা","23.6980554","90.3919155","Dhaka","Keraniganj","Map"
"0008","Pallabi-1 Dhaka","001847099008","উম্মে সালমা চৌধুরী, বাড়ি নং-০৫, রোড নং-০৪, ব্লক-এ, পল্লবী, মিরপুর-১১, ঢাকা","23.8167822","90.366754","Dhaka","Pallabi","Map"
"0009","Khilgaon Dhaka","001847099009","বাড়ির মালিক-রোকেয়া বেগম,  হোল্ডিং: ১১০২/এ খিলগাও, , ২০ নং রোড তিলপাপাড়া, খিলগাঁও, ঢাকা ।(তিলপাপাড়া, খিলগাঁও রেল ক্রসিং পার হয়ে ঢাকা হোটেল থেকে সামনে ( Best Buyশোরুম) এর পাশের গলিতে ২০ নং রোডের শেষ মাথায় দারোগা বিল্ডিং এর নিচ তলায়)","23.748834","90.429974","Dhaka","Khilkhet","Map"
"0010","Mirhajirbag-Jatrabari Dhaka","001847099010","খালেদা সুলতানা, ৯৯/ই, শহিদ ফারুক রোড, যাত্রাবাড়ি,","23.7090641","90.4312903","Dhaka","Jatrabari","Map"
